n,seconds
882,0.0737492970
883,0.0763525990
884,0.0723985160
885,0.0746445170
886,0.0716676850
887,0.0821026670
888,0.0719112480
889,0.0720931620
890,0.0748195400
891,0.0714801000
892,0.0769835650
893,0.0730250220
894,0.0733327500
895,0.0726625010
896,0.0757929660
897,0.0763413620
898,0.0791538870
899,0.0898573420
900,0.0807607920
901,0.0807315820
902,0.0784630170
903,0.0757970230
904,0.0751825950
905,0.0791180530
906,0.0753005520
907,0.0789189660
908,0.0870562750
909,0.0769974010
910,0.0822488530
911,0.0760829180
912,0.0770065600
913,0.0829180360
914,0.0819321220
915,0.0767634800
916,0.0844765640
917,0.0772558400
918,0.0826138690
919,0.0785186080
920,0.0759867070
921,0.0787154180
922,0.0793163870
923,0.0763810050
924,0.0809976050
925,0.0834393010
926,0.0817872920
927,0.0808879780
928,0.0801942150
929,0.0786798040
930,0.0825553250
931,0.0830489500
932,0.0832758990
933,0.0806130770
934,0.0810465530
935,0.0805674980
936,0.0798684830
937,0.0822321140
938,0.0896738910
939,0.0813559580
940,0.0815274710
941,0.0871806130
942,0.0859866910
943,0.0837110570
944,0.0862199070
945,0.0950420480
946,0.0836456040
947,0.0813105230
948,0.0845702740
949,0.0825604160
950,0.0845867640
951,0.0849581600
952,0.0945076460
953,0.0915655570
954,0.0887707530
955,0.0822286450
956,0.0835155650
957,0.0967972840
958,0.0915985030
959,0.0833918790
960,0.0892290960
961,0.0877278770
962,0.0844576400
963,0.0868290570
964,0.0863991460
965,0.0870698340
966,0.0849421390
967,0.0856916800
968,0.0957708950
969,0.0900901150
970,0.0914484330
971,0.0877760720
972,0.0916230450
973,0.0866450150
974,0.0889100050
975,0.0852913900
976,0.1027055360
977,0.0957975870
978,0.0891982810
979,0.0896095070
980,0.0901786830
981,0.0862943440
982,0.0874475580
983,0.0868005060
984,0.0930097760
985,0.0896235700
986,0.0888914680
987,0.0893166380
988,0.0889619780
989,0.0937342020
990,0.0888486730
991,0.0955273130
992,0.0912177820
993,0.0984829980
994,0.0979666910
995,0.0950886330
996,0.0914790150
997,0.0907809280
998,0.0900578940
999,0.0958547620
1000,0.0928593110
1001,0.0948425490
1002,0.0942689710
1003,0.1011807520
1004,0.0931517400
1005,0.0936592800
1006,0.0943731850
1007,0.0971551910
1008,0.0918937600
1009,0.1020892730
1010,0.1007968920
1011,0.0937212910
1012,0.0985457920
1013,0.0946486400
1014,0.0933049210
1015,0.0952015100
1016,0.1009218580
1017,0.1037935920
1018,0.0956536560
1019,0.0935795680
1020,0.0944130260
1021,0.0986227650
1022,0.0966676580
1023,0.1019949280
1024,0.0948760180
1025,0.1053997330
1026,0.1053765250
1027,0.0978138850
1028,0.0978510830
1029,0.0983525720
1030,0.1006177020
1031,0.0992618980
1032,0.0987931520
1033,0.0993548900
1034,0.0957620910
1035,0.1065788290
1036,0.0998436770
1037,0.1035450270
1038,0.1058793400
1039,0.0968028830
1040,0.1007109280
1041,0.1023229170
1042,0.1099291960
1043,0.1113333450
1044,0.1093136950
1045,0.1004771830
1046,0.1111870670
1047,0.1161600740
1048,0.1033198020
1049,0.1080942830
1050,0.1001320480
1051,0.1054990490
1052,0.1015675580
1053,0.1011620840
1054,0.1003736960
1055,0.1027196050
1056,0.1074440360
1057,0.0999345510
1058,0.1014315820
1059,0.1051275260
1060,0.1100796260
1061,0.1050699590
1062,0.1025650710
1063,0.1026489920
1064,0.1010018650
1065,0.1048134450
1066,0.1076666640
1067,0.1209550630
1068,0.1044756250
1069,0.1076709230
1070,0.1106587830
1071,0.1064823090
1072,0.1083701500
1073,0.1057494900
1074,0.1063133160
1075,0.1122944580
1076,0.1135655770
1077,0.1134808040
1078,0.1099851630
1079,0.1066642340
1080,0.1191880920
1081,0.1044143390
1082,0.1122965330
1083,0.1115964970
1084,0.1224574020
1085,0.1404788370
1086,0.1318856410
1087,0.1287658360
1088,0.1229473920
1089,0.1196432590
1090,0.1137970680
1091,0.1141628790
1092,0.1189143270
1093,0.1281697610
1094,0.1275683810
1095,0.1247880410
1096,0.1133711240
1097,0.1116970700
1098,0.1070494370
1099,0.1120506170
1100,0.1195383260
1101,0.1162840970
1102,0.1230849860
1103,0.1222399760
1104,0.1198208310
1105,0.1100592870
1106,0.1211330760
1107,0.1235990680
1108,0.1129907860
1109,0.1146631300
1110,0.1214717770
1111,0.1128516180
1112,0.1165038420
1113,0.1172065290
1114,0.1144960320
1115,0.1279872970
1116,0.1216018010
1117,0.1139002700
1118,0.1193600590
1119,0.1228931610
1120,0.1196034940
1121,0.1179659970
1122,0.1188445440
1123,0.1167597070
1124,0.1142631770
1125,0.1162567650
1126,0.1150251500
1127,0.1225635840
1128,0.1174855180
1129,0.1200041880
1130,0.1351794700
1131,0.1198250710
1132,0.1284481680
1133,0.1182992640
1134,0.1167151180
1135,0.1257201630
1136,0.1348630940
1137,0.1321258940
1138,0.1247821590
1139,0.1227567140
1140,0.1194586710
1141,0.1213134230
1142,0.1396396330
1143,0.1291417290
1144,0.1195187360
1145,0.1238039010
1146,0.1247969310
1147,0.1205668470
1148,0.1209380490
1149,0.1292074330
1150,0.1272113660
1151,0.1259314830
1152,0.1262679980
1153,0.1263660360
1154,0.1211308630
1155,0.1257522290
1156,0.1316411270
1157,0.1314741920
1158,0.1214002890
1159,0.1276347530
1160,0.1245115940
1161,0.1297050860
1162,0.1244951420
1163,0.1254309600
1164,0.1245608160
1165,0.1254794200
1166,0.1316559970
1167,0.1279529500
1168,0.1270351570
1169,0.1302813110
1170,0.1297867850
1171,0.1295110120
1172,0.1270146760
1173,0.1262331310
1174,0.1323398150
1175,0.1285306340
1176,0.1333552490
1177,0.1313604480
1178,0.1277728340
1179,0.1258037320
1180,0.1320587520
1181,0.1268098120
1182,0.1499360870
1183,0.1265602100
1184,0.1396659420
1185,0.1290740350
1186,0.1398568990
1187,0.1321004990
1188,0.1280978360
1189,0.1294059140
1190,0.1396861240
1191,0.1397241600
1192,0.1347398880
1193,0.1328407250
1194,0.1345823800
1195,0.1376728340
1196,0.1306075970
1197,0.1338698810
1198,0.1373869570
1199,0.1377675280
1200,0.1287961480
1201,0.1321633800
1202,0.1372296830
1203,0.1362772020
1204,0.1342718300
1205,0.1314526260
1206,0.1399771310
1207,0.1344257680
1208,0.1376990390
1209,0.1452292420
1210,0.1443539290
1211,0.1370404170
1212,0.1336841710
1213,0.1375031570
1214,0.1814275220
1215,0.1739394920
1216,0.1453212790
1217,0.1431915310
1218,0.1372276120
1219,0.1946821450
1220,0.2097112460
1221,0.1415761120
1222,0.1475299500
1223,0.1472342540
1224,0.1464590570
1225,0.1623403820
1226,0.1529646780
1227,0.1484512530
1228,0.1653409470
1229,0.1699771230
1230,0.1546971420
1231,0.1573818990
1232,0.1692574920
1233,0.1562973230
1234,0.1526264890
1235,0.1735173250
1236,0.1509990910
1237,0.1554765010
1238,0.1560598990
1239,0.1633820250
1240,0.1486929090
1241,0.1642705160
1242,0.2392262580
1243,0.1726257870
1244,0.1632838810
1245,0.1595818070
1246,0.1529488240
1247,0.1585537800
1248,0.1830379390
1249,0.1847623350
1250,0.1653375010
1251,0.1677533070
1252,0.1523233250
1253,0.1667447610
1254,0.1608966070
1255,0.1749703020
1256,0.2006094950
1257,0.1690669120
1258,0.1528768650
1259,0.1578875930
1260,0.1695595830
1261,0.1536226970
1262,0.1641167790
